LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-122.2616716,37.8377292,5132,TELEGRAPH AV,,OAKLAND,,,94609,14-1226-15,2b13400a4d483c21
-122.2619098,37.8374332,5110,TELEGRAPH AV,,OAKLAND,,,94609,14-1226-15,fe2c0215b85bd442
-122.2612466,37.8374809,5107,CLARKE ST,,OAKLAND,,,94609,14-1226-15,052b38a3a884ea79
-122.2619594,37.8373034,5100,TELEGRAPH AV,,OAKLAND,,,94609,14-1226-8-2,5be8273266922da0
-122.2616911,37.8372656,476,51ST ST,,OAKLAND,,,94609,14-1226-7-4,558f728f8ef69a1f
-122.2614891,37.8372311,466,51ST ST,,OAKLAND,,,94609,14-1226-6-4,bb173c5ffcd6d4a0
-122.2612846,37.837199,462,51ST ST,,OAKLAND,,,94609,14-1226-5-4,fb11de60fc3fce45
-122.2611473,37.8371821,458,51ST ST,,OAKLAND,,,94609,14-1226-4-5,2dbdd5135140eabd
-122.2610105,37.8371656,450,51ST ST,,OAKLAND,,,94609,14-1226-3-5,a0c8f7c2dfec96af
-122.1151238,37.6444399,24570,EDEN AV,,HAYWARD,,,94545,441-77-110,449bee549706b352
-122.113945,37.6444571,24655,MOHR DR,,HAYWARD,,,94545,441-77-103,9bbb2127f27bde95
-122.1151197,37.6442487,24582,EDEN AV,,HAYWARD,,,94545,441-77-102,8d7f10f9949c0b16
-122.1138958,37.6443585,24659,MOHR DR,,HAYWARD,,,94545,441-77-102,d555f9feb277ccf0
-122.2727362,37.7966379,350,4TH ST,,OAKLAND,,,94607,1-147-47,f725a1e520406201
-122.0875384,37.7194914,17456,ALMOND RD,,CASTRO VALLEY,,,94546,84D-1250-78,63160563889c31c4
-121.9285853,37.5446743,166,FECUNDO TE,,FREMONT,,,94539,513-756-54,8d1687c6abe42dcb
-121.9287107,37.5446555,185,FAZENDA CM,,FREMONT,,,94539,513-756-54,1ddf74145ffb8bba
-121.9283695,37.5448984,186,FECUNDO TE,,FREMONT,,,94539,513-756-52,e0f7c63bc65aa6f3
-121.9282942,37.5450091,196,FECUNDO TE,,FREMONT,,,94539,513-756-51,8d9bc6a97142d756
-121.9283385,37.5451107,198,FECUNDO TE,,FREMONT,,,94539,513-756-51,d61041be4ca1e6ea
-121.9282168,37.5451773,206,FECUNDO TE,,FREMONT,,,94539,513-756-50,ce2a5e5250849c88
-121.9281891,37.5452695,208,FECUNDO TE,,FREMONT,,,94539,513-756-50,3749bad430c074c4
-121.928113,37.5444866,167,FECUNDO TE,,FREMONT,,,94539,513-756-49,3b98631dcfd679df
-121.9282031,37.5444011,157,FECUNDO TE,,FREMONT,,,94539,513-756-48,d04f92d5c15d8bad
-121.9280505,37.5447629,187,FECUNDO TE,,FREMONT,,,94539,513-756-35,648f86970ae49649
-121.9275652,37.5446614,42092,MISSION BL,,FREMONT,,,94539,513-756-86,b03a73049366f069
-121.9291393,37.5456955,41948,MISSION BL,,FREMONT,,,94539,513-756-86,f10ab3ff56ed39d4
-121.9268896,37.544936,251,FECUNDO TE,,FREMONT,,,94539,513-756-86,e0f680242553dc01
-121.9267227,37.5453964,257,FECUNDO TE,,FREMONT,,,94539,513-756-86,25fd4cc3b60a530b
-122.1128942,37.6458268,1559,WEST ST,,HAYWARD,,,94545,441-80-30,e33a6661c5af6bab
-122.11281,37.6455764,1561,WEST ST,,HAYWARD,,,94545,441-80-29,b4f4fe329a6fd7d6
-122.1138281,37.6441885,24763,MOHR DR,,HAYWARD,,,94545,441-77-3-4,d1b982bda6fe8a29
-122.1141121,37.6447286,24647,MOHR DR,,HAYWARD,,,94545,441-77-29,d859e7576b5b9c00
-122.1150375,37.6447963,24542,EDEN AV,,HAYWARD,,,94545,441-77-98,67a12febe1b33812
